date,workerid,amount
Wed Jul 18 15:44:03 PDT 2018,A37CO0N1KC1CDW,0.4
Wed Jul 18 15:56:14 PDT 2018,A1MN0DHHHW8VIL,0.4
Wed Jul 18 16:05:49 PDT 2018,A1BIZVZ6ZQPPQP,0.4
Wed Jul 18 17:01:11 PDT 2018,A1C6NTK19FBQO0,0.4
Wed Jul 18 17:05:53 PDT 2018,A2ID4B3JMUWAP7,0.4
Wed Jul 18 17:08:31 PDT 2018,A1V3FV89RVGASD,0.4
Wed Jul 18 21:29:20 PDT 2018,A3HKZTDVORNEZ,0.4
Wed Jul 18 21:30:32 PDT 2018,A2GTY8GLAYN9BU,0.4
Wed Jul 18 21:35:30 PDT 2018,A25SORYWGW7RQC,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
