workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Male,36,,No,3
1,Vietnamese,1,Female,20,,Yes,1
2,english,2,Female,29,,Yes,2
3,english,1,Female,29,yes,Yes,3
4,English,2,Male,44,I want to be the person that takes pictures of the toys for your studies. Good day to you!,Yes,2
5,english,2,Female,29,none,No,3
6,English,1,Female,36,Thanks.,Yes,2
7,ENGLISH,2,Male,31,IT IS VERY INTERESTING.,Yes,3
8,english,1,Male,41,,Yes,1
