date,workerid,amount
Sat Jul 21 09:30:15 PDT 2018,A2E3TO92MCQ9XU,0.4
Sat Jul 21 09:32:33 PDT 2018,AMRVAZ2PAXB49,0.4
Sat Jul 21 09:33:10 PDT 2018,A173E26N947Q7A,0.4
Sat Jul 21 09:33:12 PDT 2018,A321YWMP74ULKH,0.4
Sat Jul 21 09:34:50 PDT 2018,AEDJXOPWQULR4,0.4
Sat Jul 21 09:36:07 PDT 2018,A3BWF4LL3X9V22,0.4
Sat Jul 21 09:40:46 PDT 2018,AZBH4LJ5SL456,0.4
Sat Jul 21 09:48:24 PDT 2018,A34KQ63D7LNBRL,0.4
Sat Jul 21 09:53:52 PDT 2018,A147F5PJTHOB8A,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
