old_item,image,audio,experiment,ORDER,INVERSE,,,new audio,,new image
1,7,11,plain,EO,0,1-leaning,everya,1-leaning-everya-plain,surface,1-leaning-aevery-inverse
1,8,11,plain,EO,1,1-leaning,everya,1-leaning-everya-plain,inverse,1-leaning-everya-inverse
1,6,12,there,OE,0,1-leaning,aevery,1-leaning-aevery-there,surface,1-leaning-aevery-surface
1,7,12,there,OE,1,1-leaning,aevery,1-leaning-aevery-there,inverse,1-leaning-aevery-inverse
1,6,12,there,OE,0,1-leaning,aevery,1-leaning-aevery-there,surface,1-leaning-aevery-surface
1,7,12,there,OE,1,1-leaning,aevery,1-leaning-aevery-there,inverse,1-leaning-aevery-inverse
1,6,13,plain,OE,0,1-leaning,aevery,1-leaning-aevery-plain,surface,1-leaning-aevery-surface
1,7,13,plain,OE,1,1-leaning,aevery,1-leaning-aevery-plain,inverse,1-leaning-aevery-inverse
1,7,40,one,EO,0,1-leaning,everya,1-leaning-everya-one,surface,1-leaning-aevery-inverse
1,8,40,one,EO,1,1-leaning,everya,1-leaning-everya-one,inverse,1-leaning-everya-inverse
1,6,41,thereone,OE,0,1-leaning,aevery,1-leaning-aevery-thereone,surface,1-leaning-aevery-surface
1,7,41,thereone,OE,1,1-leaning,aevery,1-leaning-aevery-thereone,inverse,1-leaning-aevery-inverse
1,6,41,thereone,OE,0,1-leaning,aevery,1-leaning-aevery-thereone,surface,1-leaning-aevery-surface
1,7,41,thereone,OE,1,1-leaning,aevery,1-leaning-aevery-thereone,inverse,1-leaning-aevery-inverse
1,6,42,one,OE,0,1-leaning,aevery,1-leaning-aevery-one,surface,1-leaning-aevery-surface
1,7,42,one,OE,1,1-leaning,aevery,1-leaning-aevery-one,inverse,1-leaning-aevery-inverse
2,15,14,plain,EO,0,2-fishing,everya,2-fishing-everya-plain,surface,2-fishing-aevery-inverse
2,12,14,plain,EO,1,2-fishing,everya,2-fishing-everya-plain,inverse,2-fishing-everya-inverse
2,49,15,there,OE,0,2-fishing,aevery,2-fishing-aevery-there,surface,2-fishing-aevery-surface
2,15,15,there,OE,1,2-fishing,aevery,2-fishing-aevery-there,inverse,2-fishing-aevery-inverse
2,49,15,there,OE,0,2-fishing,aevery,2-fishing-aevery-there,surface,2-fishing-aevery-surface
2,15,15,there,OE,1,2-fishing,aevery,2-fishing-aevery-there,inverse,2-fishing-aevery-inverse
2,49,16,plain,OE,0,2-fishing,aevery,2-fishing-aevery-plain,surface,2-fishing-aevery-surface
2,15,16,plain,OE,1,2-fishing,aevery,2-fishing-aevery-plain,inverse,2-fishing-aevery-inverse
2,15,43,one,EO,0,2-fishing,everya,2-fishing-everya-one,surface,2-fishing-aevery-inverse
2,12,43,one,EO,1,2-fishing,everya,2-fishing-everya-one,inverse,2-fishing-everya-inverse
2,49,44,thereone,OE,0,2-fishing,aevery,2-fishing-aevery-thereone,surface,2-fishing-aevery-surface
2,15,44,thereone,OE,1,2-fishing,aevery,2-fishing-aevery-thereone,inverse,2-fishing-aevery-inverse
2,49,44,thereone,OE,0,2-fishing,aevery,2-fishing-aevery-thereone,surface,2-fishing-aevery-surface
2,15,44,thereone,OE,1,2-fishing,aevery,2-fishing-aevery-thereone,inverse,2-fishing-aevery-inverse
2,49,45,one,OE,0,2-fishing,aevery,2-fishing-aevery-one,surface,2-fishing-aevery-surface
2,15,45,one,OE,1,2-fishing,aevery,2-fishing-aevery-one,inverse,2-fishing-aevery-inverse
3,15,17,plain,EO,0,3-fish pole,everya,3-fish pole-everya-plain,surface,3-fish pole-aevery-inverse
3,13,17,plain,EO,1,3-fish pole,everya,3-fish pole-everya-plain,inverse,3-fish pole-everya-inverse
3,18,18,there,OE,0,3-fish pole,aevery,3-fish pole-aevery-there,surface,3-fish pole-aevery-surface
3,15,18,there,OE,1,3-fish pole,aevery,3-fish pole-aevery-there,inverse,3-fish pole-aevery-inverse
3,18,18,there,OE,0,3-fish pole,aevery,3-fish pole-aevery-there,surface,3-fish pole-aevery-surface
