workerid,language,enjoyment,gender,age,comments,asses,education
0,ENGLISH,2,Male,32,GOOD,No,3
1,English,1,Male,56,hard to see bunnies in laps,Yes,3
2,english,2,Male,28,thanks,Yes,1
3,English,2,Female,34,No,Yes,1
4,english,2,Male,54,This was different.  Thank you.,Yes,3
5,english,2,Female,36,,Yes,2
6,english,2,Female,32,none,Yes,3
7,English,1,Male,42,Interesting study. ,Yes,3
8,English,1,Female,20,,Yes,1
