workerid,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education
0,small,under8,eng,Malayalam,int,1,Female,28,KorKor,Good,shortlive,Yes,yes,onesem,2
1,most,under8,kor,ENGLISH,near native,0,Male,30,L2,"좋은
",shortlive,Yes,yes,nocollege,3
2,,,,,,-1,,,,,,NA,,,-1
3,,,,,,-1,,,,,,NA,,,-1
4,small,under8,kor,english,advanced,1,Female,35,L2,,midlive,Yes,no,nocollege,2
5,none,neverlived,eng,,basic,0,Male,,KorEng,,neverlived,No,yes,nocollege,0
6,none,neverlived,eng,,basic,0,Male,,KorEng,,neverlived,No,yes,nocollege,0
7,none,neverlived,eng,,basic,0,Male,,KorEng,,neverlived,No,yes,nocollege,0
8,none,neverlived,eng,,basic,0,Male,,KorEng,,neverlived,No,no,nocollege,0
