workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Female,34,,Yes,3
1,English,1,Male,70,,Confused,3
2,English,2,Male,35,no comments,Yes,4
3,ENGLISH,1,Male,24,great,Yes,3
4,English,2,Female,29,,Yes,3
5,english,2,Female,33,"It definitely made me think, it could have been interpreted differently by many ",Yes,3
6,English,2,Female,30,,Yes,2
7,eng,2,Female,58,,Yes,2
8,English,2,Male,32,,Yes,3
