workerid,trial_type,image,response,item,scramble,scope,quantifier,audio,type,order
0,one_slider,images/6-biting-aevery-surface.JPG,0.96,6-biting,default,surface,motun,audio/6-biting-motun-aevery-default.m4a,test,aevery
0,one_slider,images/063.JPG,0.01,filler3,default,inverse,enu,audio/f3-default.m4a,filler,aevery
0,one_slider,images/054.JPG,0.01,filler13,default,inverse,motun,audio/f13-default.m4a,filler,aevery
0,one_slider,images/005.JPG,0.01,filler10,default,surface,motun,audio/f10-default.m4a,filler,everya
0,one_slider,images/5-bottle-everya-inverse.JPG,0.98,5-bottle,default,inverse,enu,audio/5-bottle-enu-everya-default.m4a,test,everya
0,one_slider,images/009.JPG,0.15,filler7,default,inverse,motun,audio/f7-default.m4a,filler,aevery
0,one_slider,images/016.JPG,0.02,filler9,default,inverse,enu,audio/f9-default.m4a,filler,everya
0,one_slider,images/2-fishing-aevery-surface.JPG,1,2-fishing,default,surface,motun,audio/2-fishing-motun-aevery-default.m4a,test,aevery
0,one_slider,images/4-feeding-aevery-surface.JPG,0.99,4-feeding,default,surface,motun,audio/4-feeding-motun-aevery-default.m4a,test,aevery
0,one_slider,images/063.JPG,0.98,filler2,default,surface,motun,audio/f2-default.m4a,filler,aevery
0,one_slider,images/1-leaning-aevery-inverse.JPG,0.18,1-leaning,default,surface,enu,audio/1-leaning-enu-everya-default.m4a,test,everya
0,one_slider,images/8-petting-aevery-surface.JPG,0.99,8-petting,default,surface,motun,audio/8-petting-motun-aevery-default.m4a,test,aevery
0,one_slider,images/075.JPG,0.01,filler4,default,surface,motun,audio/f4-default.m4a,filler,aevery
0,one_slider,images/3-pole-everya-inverse.JPG,0.99,3-pole,default,inverse,motun,audio/3-pole-motun-everya-default.m4a,test,everya
0,one_slider,images/005.JPG,0.01,filler11,default,inverse,motun,audio/f11-default.m4a,filler,everya
0,one_slider,images/009.JPG,0.01,filler8,default,surface,enu,audio/f8-default.m4a,filler,aevery
0,one_slider,images/7-attacking-aevery-inverse.JPG,0.03,7-attacking,default,inverse,enu,audio/7-attacking-enu-aevery-default.m4a,test,aevery
0,one_slider,images/053.JPG,0.99,filler1,default,inverse,enu,audio/f1-default.m4a,filler,everya
0,one_slider,images/054.JPG,0,filler12,default,inverse,enu,audio/f12-default.m4a,filler,aevery
0,one_slider,images/056.JPG,0.02,filler5,default,inverse,enu,audio/f5-default.m4a,filler,everya
0,one_slider,images/056.JPG,0.01,filler6,default,surface,enu,audio/f6-default.m4a,filler,aevery
1,one_slider,images/063.JPG,0.67,filler2,default,surface,enu,audio/f2-default.m4a,filler,aevery
1,one_slider,images/2-fishing-everya-inverse.JPG,0.59,2-fishing,default,inverse,enu,audio/2-fishing-enu-everya-default.m4a,test,everya
1,one_slider,images/016.JPG,0.62,filler9,default,surface,motun,audio/f9-default.m4a,filler,aevery
1,one_slider,images/3-pole-aevery-inverse.JPG,1,3-pole,default,surface,enu,audio/3-pole-enu-everya-default.m4a,test,everya
1,one_slider,images/056.JPG,0.51,filler6,default,inverse,enu,audio/f6-default.m4a,filler,aevery
1,one_slider,images/054.JPG,0,filler13,default,surface,motun,audio/f13-default.m4a,filler,everya
1,one_slider,images/075.JPG,0.57,filler4,default,inverse,enu,audio/f4-default.m4a,filler,aevery
1,one_slider,images/005.JPG,0.73,filler10,default,inverse,enu,audio/f10-default.m4a,filler,aevery
1,one_slider,images/6-biting-everya-inverse.JPG,0.73,6-biting,default,inverse,motun,audio/6-biting-motun-everya-default.m4a,test,everya
1,one_slider,images/053.JPG,0.66,filler1,default,inverse,enu,audio/f1-default.m4a,filler,everya
1,one_slider,images/7-attacking-aevery-surface.JPG,1,7-attacking,default,surface,enu,audio/7-attacking-enu-aevery-default.m4a,test,aevery
1,one_slider,images/005.JPG,0.87,filler11,default,inverse,enu,audio/f11-default.m4a,filler,everya
1,one_slider,images/009.JPG,0.81,filler7,default,inverse,enu,audio/f7-default.m4a,filler,everya
1,one_slider,images/056.JPG,0.83,filler5,default,surface,enu,audio/f5-default.m4a,filler,aevery
1,one_slider,images/4-feeding-everya-inverse.JPG,0.85,4-feeding,default,inverse,motun,audio/4-feeding-motun-everya-default.m4a,test,everya
1,one_slider,images/5-bottle-aevery-inverse.JPG,0.71,5-bottle,default,surface,motun,audio/5-bottle-motun-everya-default.m4a,test,everya
1,one_slider,images/054.JPG,0.49,filler12,default,surface,enu,audio/f12-default.m4a,filler,aevery
1,one_slider,images/063.JPG,0.32,filler3,default,surface,motun,audio/f3-default.m4a,filler,aevery
1,one_slider,images/8-petting-aevery-surface.JPG,0.56,8-petting,default,surface,motun,audio/8-petting-motun-aevery-default.m4a,test,aevery
1,one_slider,images/1-leaning-aevery-inverse.JPG,0.74,1-leaning,default,surface,enu,audio/1-leaning-enu-everya-default.m4a,test,everya
1,one_slider,images/009.JPG,0.55,filler8,default,surface,motun,audio/f8-default.m4a,filler,aevery
2,one_slider,images/054.JPG,0,filler13,scrambled,surface,motun,audio/f13-scrambled.m4a,filler,everya
2,one_slider,images/009.JPG,0.02,filler7,scrambled,inverse,motun,audio/f7-scrambled.m4a,filler,everya
2,one_slider,images/1-leaning-aevery-surface.JPG,1,1-leaning,scrambled,surface,motun,audio/1-leaning-motun-aevery-scrambled.m4a,test,aevery
2,one_slider,images/8-petting-aevery-surface.JPG,0.26,8-petting,scrambled,surface,motun,audio/8-petting-motun-aevery-scrambled.m4a,test,aevery
2,one_slider,images/3-pole-aevery-inverse.JPG,0.04,3-pole,scrambled,inverse,motun,audio/3-pole-motun-aevery-scrambled.m4a,test,aevery
2,one_slider,images/4-feeding-everya-inverse.JPG,1,4-feeding,scrambled,inverse,enu,audio/4-feeding-enu-everya-scrambled.m4a,test,everya
2,one_slider,images/5-bottle-aevery-inverse.JPG,0.23,5-bottle,scrambled,inverse,motun,audio/5-bottle-motun-aevery-scrambled.m4a,test,aevery
2,one_slider,images/005.JPG,0,filler11,scrambled,surface,enu,audio/f11-scrambled.m4a,filler,aevery
2,one_slider,images/009.JPG,0,filler8,scrambled,inverse,motun,audio/f8-scrambled.m4a,filler,aevery
2,one_slider,images/7-attacking-aevery-surface.JPG,1,7-attacking,scrambled,surface,motun,audio/7-attacking-motun-aevery-scrambled.m4a,test,aevery
2,one_slider,images/2-fishing-everya-inverse.JPG,1,2-fishing,scrambled,inverse,enu,audio/2-fishing-enu-everya-scrambled.m4a,test,everya
2,one_slider,images/005.JPG,0,filler10,scrambled,inverse,motun,audio/f10-scrambled.m4a,filler,aevery
2,one_slider,images/075.JPG,0,filler4,scrambled,surface,enu,audio/f4-scrambled.m4a,filler,everya
2,one_slider,images/054.JPG,0,filler12,scrambled,surface,enu,audio/f12-scrambled.m4a,filler,aevery
2,one_slider,images/053.JPG,1,filler1,scrambled,surface,motun,audio/f1-scrambled.m4a,filler,aevery
2,one_slider,images/056.JPG,0,filler6,scrambled,inverse,motun,audio/f6-scrambled.m4a,filler,everya
2,one_slider,images/016.JPG,0,filler9,scrambled,surface,enu,audio/f9-scrambled.m4a,filler,aevery
2,one_slider,images/063.JPG,0.99,filler2,scrambled,surface,enu,audio/f2-scrambled.m4a,filler,aevery
2,one_slider,images/6-biting-everya-inverse.JPG,1,6-biting,scrambled,inverse,enu,audio/6-biting-enu-everya-scrambled.m4a,test,everya
2,one_slider,images/063.JPG,0.4,filler3,scrambled,surface,motun,audio/f3-scrambled.m4a,filler,everya
2,one_slider,images/056.JPG,0,filler5,scrambled,surface,motun,audio/f5-scrambled.m4a,filler,aevery
3,one_slider,images/054.JPG,0.63,filler13,scrambled,surface,motun,audio/f13-scrambled.m4a,filler,aevery
3,one_slider,images/7-attacking-everya-inverse.JPG,0.55,7-attacking,scrambled,inverse,motun,audio/7-attacking-motun-everya-scrambled.m4a,test,everya
3,one_slider,images/056.JPG,0.8,filler6,scrambled,inverse,enu,audio/f6-scrambled.m4a,filler,aevery
3,one_slider,images/6-biting-aevery-inverse.JPG,0.36,6-biting,scrambled,inverse,motun,audio/6-biting-motun-aevery-scrambled.m4a,test,aevery
3,one_slider,images/009.JPG,0.72,filler8,scrambled,surface,motun,audio/f8-scrambled.m4a,filler,everya
3,one_slider,images/075.JPG,0.73,filler4,scrambled,surface,motun,audio/f4-scrambled.m4a,filler,aevery
3,one_slider,images/4-feeding-aevery-inverse.JPG,0.41,4-feeding,scrambled,inverse,enu,audio/4-feeding-enu-aevery-scrambled.m4a,test,aevery
3,one_slider,images/005.JPG,0.75,filler10,scrambled,surface,motun,audio/f10-scrambled.m4a,filler,aevery
3,one_slider,images/009.JPG,0.44,filler7,scrambled,inverse,enu,audio/f7-scrambled.m4a,filler,everya
3,one_slider,images/1-leaning-aevery-inverse.JPG,0.39,1-leaning,scrambled,surface,motun,audio/1-leaning-motun-everya-scrambled.m4a,test,everya
3,one_slider,images/8-petting-everya-inverse.JPG,0.54,8-petting,scrambled,inverse,motun,audio/8-petting-motun-everya-scrambled.m4a,test,everya
3,one_slider,images/3-pole-aevery-surface.JPG,0.35,3-pole,scrambled,surface,motun,audio/3-pole-motun-aevery-scrambled.m4a,test,aevery
3,one_slider,images/2-fishing-aevery-inverse.JPG,0.61,2-fishing,scrambled,inverse,motun,audio/2-fishing-motun-aevery-scrambled.m4a,test,aevery
3,one_slider,images/063.JPG,0.61,filler2,scrambled,surface,enu,audio/f2-scrambled.m4a,filler,aevery
3,one_slider,images/053.JPG,0.46,filler1,scrambled,inverse,enu,audio/f1-scrambled.m4a,filler,everya
3,one_slider,images/016.JPG,0.42,filler9,scrambled,surface,enu,audio/f9-scrambled.m4a,filler,aevery
3,one_slider,images/054.JPG,0.57,filler12,scrambled,surface,motun,audio/f12-scrambled.m4a,filler,everya
3,one_slider,images/005.JPG,0.77,filler11,scrambled,inverse,enu,audio/f11-scrambled.m4a,filler,everya
3,one_slider,images/063.JPG,0.6,filler3,scrambled,surface,motun,audio/f3-scrambled.m4a,filler,aevery
3,one_slider,images/5-bottle-aevery-inverse.JPG,0.81,5-bottle,scrambled,inverse,motun,audio/5-bottle-motun-aevery-scrambled.m4a,test,aevery
3,one_slider,images/056.JPG,0.54,filler5,scrambled,surface,enu,audio/f5-scrambled.m4a,filler,aevery
4,one_slider,images/056.JPG,0,filler5,default,surface,enu,audio/f5-default.m4a,filler,everya
4,one_slider,images/053.JPG,0.96,filler1,default,surface,motun,audio/f1-default.m4a,filler,everya
4,one_slider,images/1-leaning-aevery-surface.JPG,0.96,1-leaning,default,surface,motun,audio/1-leaning-motun-aevery-default.m4a,test,aevery
4,one_slider,images/054.JPG,0,filler13,default,inverse,motun,audio/f13-default.m4a,filler,everya
4,one_slider,images/063.JPG,0.89,filler2,default,inverse,motun,audio/f2-default.m4a,filler,everya
4,one_slider,images/005.JPG,0,filler11,default,inverse,motun,audio/f11-default.m4a,filler,everya
4,one_slider,images/005.JPG,0.04,filler10,default,surface,motun,audio/f10-default.m4a,filler,aevery
4,one_slider,images/016.JPG,0.01,filler9,default,surface,enu,audio/f9-default.m4a,filler,aevery
4,one_slider,images/8-petting-aevery-inverse.JPG,0.87,8-petting,default,surface,enu,audio/8-petting-enu-everya-default.m4a,test,everya
4,one_slider,images/3-pole-aevery-inverse.JPG,0.07,3-pole,default,inverse,motun,audio/3-pole-motun-aevery-default.m4a,test,aevery
4,one_slider,images/4-feeding-aevery-inverse.JPG,0.03,4-feeding,default,inverse,enu,audio/4-feeding-enu-aevery-default.m4a,test,aevery
4,one_slider,images/6-biting-aevery-inverse.JPG,0.25,6-biting,default,inverse,enu,audio/6-biting-enu-aevery-default.m4a,test,aevery
4,one_slider,images/075.JPG,0.01,filler4,default,surface,motun,audio/f4-default.m4a,filler,aevery
