workerid,trial_type,image,response,item,scramble,scope,quantifier,audio,type,order
0,one_slider,images/4-feeding-aevery-inverse.JPG,0.61,4-feeding,default,surface,motun,audio/4-feeding-motun-everya-default.m4a,test,everya
0,one_slider,images/1-leaning-aevery-inverse.JPG,0.4,1-leaning,default,surface,motun,audio/1-leaning-motun-everya-default.m4a,test,everya
0,one_slider,images/7-attacking-aevery-inverse.JPG,0.78,7-attacking,default,inverse,motun,audio/7-attacking-motun-aevery-default.m4a,test,aevery
0,one_slider,images/8-petting-aevery-inverse.JPG,0.62,8-petting,default,inverse,motun,audio/8-petting-motun-aevery-default.m4a,test,aevery
0,one_slider,images/054.JPG,0.64,filler13,default,inverse,enu,audio/f13-default.m4a,filler,aevery
0,one_slider,images/5-bottle-aevery-inverse.JPG,0.72,5-bottle,default,inverse,motun,audio/5-bottle-motun-aevery-default.m4a,test,aevery
0,one_slider,images/005.JPG,0.39,filler10,default,surface,motun,audio/f10-default.m4a,filler,everya
0,one_slider,images/063.JPG,0.61,filler2,default,surface,motun,audio/f2-default.m4a,filler,aevery
0,one_slider,images/056.JPG,0.94,filler5,default,surface,motun,audio/f5-default.m4a,filler,everya
0,one_slider,images/054.JPG,0.84,filler12,default,inverse,motun,audio/f12-default.m4a,filler,everya
0,one_slider,images/2-fishing-everya-inverse.JPG,0.79,2-fishing,default,inverse,enu,audio/2-fishing-enu-everya-default.m4a,test,everya
0,one_slider,images/056.JPG,0.77,filler6,default,inverse,enu,audio/f6-default.m4a,filler,aevery
0,one_slider,images/009.JPG,0.58,filler7,default,surface,motun,audio/f7-default.m4a,filler,everya
0,one_slider,images/3-pole-aevery-inverse.JPG,0.59,3-pole,default,inverse,motun,audio/3-pole-motun-aevery-default.m4a,test,aevery
0,one_slider,images/016.JPG,0.74,filler9,default,surface,enu,audio/f9-default.m4a,filler,aevery
0,one_slider,images/009.JPG,0.32,filler8,default,surface,motun,audio/f8-default.m4a,filler,aevery
0,one_slider,images/063.JPG,0.73,filler3,default,inverse,motun,audio/f3-default.m4a,filler,everya
0,one_slider,images/005.JPG,0.63,filler11,default,surface,enu,audio/f11-default.m4a,filler,aevery
0,one_slider,images/075.JPG,0.91,filler4,default,surface,motun,audio/f4-default.m4a,filler,aevery
0,one_slider,images/053.JPG,0.8,filler1,default,inverse,motun,audio/f1-default.m4a,filler,aevery
0,one_slider,images/6-biting-aevery-inverse.JPG,0.62,6-biting,default,surface,motun,audio/6-biting-motun-everya-default.m4a,test,everya
1,one_slider,images/056.JPG,0,filler6,default,inverse,enu,audio/f6-default.m4a,filler,aevery
1,one_slider,images/6-biting-aevery-inverse.JPG,0,6-biting,default,inverse,enu,audio/6-biting-enu-aevery-default.m4a,test,aevery
1,one_slider,images/005.JPG,0,filler11,default,surface,enu,audio/f11-default.m4a,filler,aevery
1,one_slider,images/056.JPG,0,filler5,default,surface,motun,audio/f5-default.m4a,filler,everya
1,one_slider,images/7-attacking-everya-inverse.JPG,1,7-attacking,default,inverse,motun,audio/7-attacking-motun-everya-default.m4a,test,everya
1,one_slider,images/009.JPG,0,filler7,default,surface,motun,audio/f7-default.m4a,filler,aevery
1,one_slider,images/5-bottle-everya-inverse.JPG,1,5-bottle,default,inverse,motun,audio/5-bottle-motun-everya-default.m4a,test,everya
1,one_slider,images/016.JPG,1,filler9,default,inverse,enu,audio/f9-default.m4a,filler,aevery
1,one_slider,images/005.JPG,0,filler10,default,inverse,enu,audio/f10-default.m4a,filler,everya
1,one_slider,images/075.JPG,0,filler4,default,surface,enu,audio/f4-default.m4a,filler,everya
1,one_slider,images/063.JPG,1,filler2,default,inverse,motun,audio/f2-default.m4a,filler,aevery
1,one_slider,images/4-feeding-aevery-surface.JPG,1,4-feeding,default,surface,motun,audio/4-feeding-motun-aevery-default.m4a,test,aevery
1,one_slider,images/054.JPG,0,filler12,default,inverse,motun,audio/f12-default.m4a,filler,aevery
1,one_slider,images/053.JPG,1,filler1,default,inverse,enu,audio/f1-default.m4a,filler,everya
1,one_slider,images/063.JPG,0,filler3,default,surface,enu,audio/f3-default.m4a,filler,aevery
1,one_slider,images/054.JPG,0.76,filler13,default,inverse,enu,audio/f13-default.m4a,filler,aevery
1,one_slider,images/1-leaning-everya-inverse.JPG,0.79,1-leaning,default,inverse,enu,audio/1-leaning-enu-everya-default.m4a,test,everya
1,one_slider,images/009.JPG,0,filler8,default,inverse,motun,audio/f8-default.m4a,filler,aevery
1,one_slider,images/2-fishing-aevery-inverse.JPG,0.75,2-fishing,default,surface,motun,audio/2-fishing-motun-everya-default.m4a,test,everya
1,one_slider,images/3-pole-everya-inverse.JPG,1,3-pole,default,inverse,motun,audio/3-pole-motun-everya-default.m4a,test,everya
1,one_slider,images/8-petting-aevery-inverse.JPG,0,8-petting,default,inverse,motun,audio/8-petting-motun-aevery-default.m4a,test,aevery
2,one_slider,images/054.JPG,0.84,filler12,scrambled,surface,enu,audio/f12-scrambled.m4a,filler,aevery
2,one_slider,images/075.JPG,0.79,filler4,scrambled,surface,enu,audio/f4-scrambled.m4a,filler,everya
2,one_slider,images/005.JPG,0.53,filler10,scrambled,surface,motun,audio/f10-scrambled.m4a,filler,aevery
2,one_slider,images/4-feeding-everya-inverse.JPG,0.48,4-feeding,scrambled,inverse,enu,audio/4-feeding-enu-everya-scrambled.m4a,test,everya
2,one_slider,images/009.JPG,0.51,filler8,scrambled,surface,motun,audio/f8-scrambled.m4a,filler,aevery
2,one_slider,images/8-petting-aevery-inverse.JPG,0.71,8-petting,scrambled,surface,enu,audio/8-petting-enu-everya-scrambled.m4a,test,everya
2,one_slider,images/063.JPG,0.34,filler2,scrambled,surface,enu,audio/f2-scrambled.m4a,filler,aevery
2,one_slider,images/005.JPG,0.6,filler11,scrambled,surface,motun,audio/f11-scrambled.m4a,filler,everya
2,one_slider,images/7-attacking-aevery-surface.JPG,0.76,7-attacking,scrambled,surface,enu,audio/7-attacking-enu-aevery-scrambled.m4a,test,aevery
2,one_slider,images/053.JPG,0.74,filler1,scrambled,inverse,enu,audio/f1-scrambled.m4a,filler,everya
2,one_slider,images/009.JPG,0.82,filler7,scrambled,inverse,motun,audio/f7-scrambled.m4a,filler,everya
2,one_slider,images/6-biting-aevery-inverse.JPG,0.71,6-biting,scrambled,inverse,motun,audio/6-biting-motun-aevery-scrambled.m4a,test,aevery
2,one_slider,images/5-bottle-aevery-surface.JPG,0.52,5-bottle,scrambled,surface,motun,audio/5-bottle-motun-aevery-scrambled.m4a,test,aevery
2,one_slider,images/2-fishing-everya-inverse.JPG,0.52,2-fishing,scrambled,inverse,motun,audio/2-fishing-motun-everya-scrambled.m4a,test,everya
2,one_slider,images/016.JPG,0.49,filler9,scrambled,surface,enu,audio/f9-scrambled.m4a,filler,everya
2,one_slider,images/1-leaning-aevery-inverse.JPG,0.55,1-leaning,scrambled,surface,enu,audio/1-leaning-enu-everya-scrambled.m4a,test,everya
