workerid,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education
0,none,neverlived,eng,English,basic,2,Male,35,L2,,neverlived,Confused,no,nocollege,0
1,small,over8,koreng,,near native,2,Female,,L2,"no, thank you.",neverlived,No,no,midsem,2
2,small,over8,kor,NA,advanced,1,Female,45,otherL2,A2KAF6GDEKHYC3,shortlive,No,yes,onesem,3
