workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Female,34,,Yes,3
1,Turkish,2,,45,,NA,3
2,English,2,Female,35,"Good survey, thank you and have a nice day.",Yes,3
3,English,2,Male,37,,Yes,2
4,english,1,Female,27,nice job,Yes,2
5,english,2,Female,28,good,No,3
6,English,2,Female,47,none,Yes,3
7,English,1,Male,33,I had to download all the audios to hear them.,Yes,3
8,English,1,Male,27,"Great study, thank you!",Yes,2
