date,workerid,amount
Sat Jul 21 21:47:49 PDT 2018,A17U6T9LXJWX47,0.4
Sat Jul 28 04:12:47 PDT 2018,AJEIX4HPLQM0H,0.4
Sat Jul 28 04:14:05 PDT 2018,A11ZS25OQS2ED0,0.4
Tue Jul 31 00:50:38 PDT 2018,AH9OJPTZ8DUTT,0.4
Wed Aug 01 23:06:37 PDT 2018,A1TBSXR1F1NBP2,0.4
Sun Aug 05 18:53:31 PDT 2018,A8FV0K70F3IMR,0.4
Mon Aug 06 07:03:55 PDT 2018,A2LNJELGZ9NJXC,0.4
Mon Aug 06 12:24:21 PDT 2018,A333ETCMDR43RZ,0.4
Fri Aug 10 03:42:05 PDT 2018,AKNI5BKXWGCDU,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
