id	audio	item	condition	image
1	41	1	a	6
2	41	1	b	7
3	41	1	c	6
4	41	1	d	7
5	44	2	a	49
6	44	2	b	15
7	44	2	c	49
8	44	2	d	15
9	47	3	a	18
10	47	3	b	15
11	47	3	c	18
12	47	3	d	15
13	50	4	a	21
14	50	4	b	19
15	50	4	c	21
16	50	4	d	19
17	53	5	a	27
18	53	5	b	26
19	53	5	c	27
20	53	5	d	26
21	56	6	a	40
22	56	6	b	36
23	56	6	c	40
24	56	6	d	36
25	59	7	a	35
26	59	7	b	33
27	59	7	c	35
28	59	7	d	33
29	62	8	a	71
30	62	8	b	70
31	62	8	c	71
32	62	8	d	70
33	12	9	a	6
34	12	9	b	7
35	12	9	c	6
36	12	9	d	7
37	15	10	a	49
38	15	10	b	15
39	15	10	c	49
40	15	10	d	15
41	18	11	a	18
42	18	11	b	15
43	18	11	c	18
44	18	11	d	15
45	21	12	a	21
46	21	12	b	19
47	21	12	c	21
48	21	12	d	19
49	24	13	a	27
50	24	13	b	26
51	24	13	c	27
52	24	13	d	26
53	27	14	a	40
54	27	14	b	36
55	27	14	c	40
56	27	14	d	36
57	30	15	a	35
58	30	15	b	33
59	30	15	c	35
60	30	15	d	33
61	33	16	a	71
62	33	16	b	70
63	33	16	c	71
64	33	16	d	70
65	11	17	a	7
66	11	17	b	8
67	13	17	c	6
68	13	17	d	7
69	14	18	a	15
70	14	18	b	12
71	16	18	c	49
72	16	18	d	15
73	17	19	a	15
74	17	19	b	13
75	19	19	c	18
76	19	19	d	15
77	20	20	a	19
78	20	20	b	20
79	22	20	c	21
80	22	20	d	19
81	23	21	a	26
82	23	21	b	25
83	25	21	c	27
84	25	21	d	26
85	26	22	a	36
86	26	22	b	37
87	28	22	c	40
88	28	22	d	36
89	29	23	a	33
90	29	23	b	34
91	31	23	c	35
92	31	23	d	33
93	32	24	a	70
94	32	24	b	69
95	34	24	c	71
96	34	24	d	70
97	40	25	a	7
98	40	25	b	8
99	42	25	c	6
100	42	25	d	7
101	43	26	a	15
102	43	26	b	12
103	45	26	c	49
104	45	26	d	15
105	46	27	a	15
106	46	27	b	13
107	48	27	c	18
108	48	27	d	15
109	49	28	a	19
110	49	28	b	20
111	51	28	c	21
112	51	28	d	19
113	52	29	a	26
114	52	29	b	25
115	54	29	c	27
116	54	29	d	26
117	55	30	a	36
118	55	30	b	37
119	57	30	c	40
120	57	30	d	36
121	58	31	a	33
122	58	31	b	34
123	60	31	c	35
124	60	31	d	33
125	61	32	a	70
126	61	32	b	69
127	63	32	c	71
128	63	32	d	70
129	0	f1	filler	53
130	6	f10	filler	5
131	38	f11	filler	5
132	7	f12	filler	54
133	39	f13	filler	54
134	1	f2	filler	63
135	35	f3	filler	63
136	2	f4	filler	75
137	3	f5	filler	56
138	36	f6	filler	56
139	4	f7	filler	9
140	37	f8	filler	9
141	5	f9	filler	16
142	8	p1	practice	1
143	9	p2	practice	59
144	10	p3	practice	47
