id	audio	item	condition	image
1	40	1	a	007
2	40	1	b	008
3	42	1	c	006
4	42	1	d	007
5	11	2	a	007
6	11	2	b	008
7	13	2	c	006
8	13	2	d	007
9	12	3	a	006
10	12	3	b	007
11	12	3	c	006
12	12	3	d	007
13	41	4	a	006
14	41	4	b	007
15	41	4	c	006
16	41	4	d	007
17	43	5	a	015
18	43	5	b	012
19	45	5	c	049
20	45	5	d	015
21	14	6	a	015
22	14	6	b	012
23	16	6	c	049
24	16	6	d	015
25	15	7	a	049
26	15	7	b	015
27	15	7	c	049
28	15	7	d	015
29	44	8	a	049
30	44	8	b	015
31	44	8	c	049
32	44	8	d	015
33	46	9	a	015
34	46	9	b	013
35	48	9	c	018
36	48	9	d	015
37	17	10	a	015
38	17	10	b	013
39	19	10	c	018
40	19	10	d	015
41	18	11	a	018
42	18	11	b	015
43	18	11	c	018
44	18	11	d	015
45	47	12	a	018
46	47	12	b	015
47	47	12	c	018
48	47	12	d	015
49	49	13	a	019
50	49	13	b	020
51	51	13	c	021
52	51	13	d	019
53	20	14	a	019
54	20	14	b	020
55	22	14	c	021
56	22	14	d	019
57	21	15	a	021
58	21	15	b	019
59	21	15	c	021
60	21	15	d	019
61	50	16	a	021
62	50	16	b	019
63	50	16	c	021
64	50	16	d	019
65	52	17	a	026
66	52	17	b	025
67	54	17	c	027
68	54	17	d	026
69	23	18	a	026
70	23	18	b	025
71	25	18	c	027
72	25	18	d	026
73	24	19	a	027
74	24	19	b	026
75	24	19	c	027
76	24	19	d	026
77	53	20	a	027
78	53	20	b	026
79	53	20	c	027
80	53	20	d	026
81	55	21	a	036
82	55	21	b	037
83	57	21	c	040
84	57	21	d	036
85	26	22	a	036
86	26	22	b	037
87	28	22	c	040
88	28	22	d	036
89	27	23	a	040
90	27	23	b	036
91	27	23	c	040
92	27	23	d	036
93	56	24	a	040
94	56	24	b	036
95	56	24	c	040
96	56	24	d	036
97	58	25	a	033
98	58	25	b	034
99	60	25	c	035
100	60	25	d	033
101	29	26	a	033
102	29	26	b	034
103	31	26	c	035
104	31	26	d	033
105	30	27	a	035
106	30	27	b	033
107	30	27	c	035
108	30	27	d	033
109	59	28	a	035
110	59	28	b	033
111	59	28	c	035
112	59	28	d	033
113	61	29	a	070
114	61	29	b	069
115	63	29	c	071
116	63	29	d	070
117	32	30	a	070
118	32	30	b	069
119	34	30	c	071
120	34	30	d	070
121	33	31	a	071
122	33	31	b	070
123	33	31	c	071
124	33	31	d	070
125	62	32	a	071
126	62	32	b	070
127	62	32	c	071
128	62	32	d	070
129	00	f1	filler	053
130	06	f10	filler	005
131	38	f11	filler	005
132	07	f12	filler	054
133	39	f13	filler	054
134	01	f2	filler	063
135	35	f3	filler	063
136	02	f4	filler	075
137	03	f5	filler	056
138	36	f6	filler	056
139	04	f7	filler	009
140	37	f8	filler	009
141	05	f9	filler	016
